"method","subsample","event_date","mean_car","se","boot_se","lo","hi","n","metric"
"SC","Cash merger",108,-0.140656489518415,0.00318896095066474,0.0255967752100431,-0.196874766529189,-0.091574064210273,9261,"log"
"SC","Cash merger",109,-0.142266335020123,0.0032144403699134,0.0258557578056773,-0.199426500753733,-0.0930004020020205,9261,"log"
"SC","Cash merger",110,-0.144003555330099,0.00323118887189076,0.0260424895515056,-0.201464824981827,-0.0941653036938655,9261,"log"
"SC","Cash merger",111,-0.145946589237977,0.00325238497396376,0.0263882102055467,-0.204342385572254,-0.0953966415913987,9261,"log"
"SC","Cash merger",112,-0.147623555405708,0.0032707908248266,0.0266796113588494,-0.206974340229928,-0.0965092264144295,9261,"log"
"SC","Cash merger",113,-0.149297057391124,0.00329795498959706,0.0269571432452075,-0.209209665036819,-0.0978843907767751,9261,"log"
"SC","Cash merger",114,-0.150642329836054,0.00330696875442152,0.0272130507950937,-0.210981819588462,-0.0986675339164253,9261,"log"
"SC","Cash merger",115,-0.152063080137244,0.0033203697421555,0.0273725914799449,-0.212683664724883,-0.0999197711811647,9261,"log"
"SC","Cash merger",116,-0.153530455027672,0.00334491542870952,0.0276432223575042,-0.214693871834227,-0.100739155122116,9261,"log"
"SC","Cash merger",117,-0.154653965304759,0.00335914661873123,0.0277835499143281,-0.215841189506665,-0.101500320342985,9261,"log"
"SC","Cash merger",118,-0.156301765099097,0.00337858233601935,0.0280616154209205,-0.21832678940018,-0.102564977306954,9261,"log"
"SC","Cash merger",119,-0.15768153885155,0.00339590065253427,0.0282735025785941,-0.220399233960579,-0.10331839379481,9261,"log"
"SC","Cash merger",120,-0.15934611261219,0.00341537068955028,0.0285004214906425,-0.222514588646187,-0.104548544776732,9261,"log"
"SC","Cash merger",121,-0.16100657101802,0.00342460024807567,0.0286456775346526,-0.224746395151047,-0.10623453767093,9261,"log"
"SC","Cash merger",122,-0.162125990848768,0.00344318055193457,0.0290978791593544,-0.226249386090811,-0.106446076798481,9261,"log"
"SC","Cash merger",123,-0.163522351363388,0.00345761930256144,0.0293132757216246,-0.228294862276807,-0.10701892791297,9261,"log"
"SC","Cash merger",124,-0.165152433428577,0.00347637507940276,0.0295828156461241,-0.230702145438545,-0.107941321387664,9261,"log"
"SC","Cash merger",125,-0.165834377585092,0.00349016527984724,0.029817846874309,-0.232068684358385,-0.107936865770225,9261,"log"
"SC","Cash merger",126,-0.16700386430118,0.00350620772325074,0.0299843090791693,-0.23339096963171,-0.108568356221906,9261,"log"
"SC","Cash merger",127,-0.167941000908238,0.00351636877761454,0.0301872649715914,-0.23466984048496,-0.109445334711799,9261,"log"
"SC","Cash merger",128,-0.169693971811574,0.00353072929734135,0.0303809187820065,-0.236918797136106,-0.110559433675968,9261,"log"
"SC","Cash merger",129,-0.171748599003175,0.00355278993882132,0.0306866958135017,-0.239200162799509,-0.112514757501672,9261,"log"
"SC","Cash merger",130,-0.173195577826487,0.00356731632933258,0.0310054899295513,-0.240728171016287,-0.113815104736072,9261,"log"
"SC","Cash merger",131,-0.174737731627365,0.00358749063319245,0.0312844329760074,-0.242873041863346,-0.114823213223534,9261,"log"
"SC","Cash merger",132,-0.176390464557728,0.00361325476300963,0.0316912713388226,-0.245589861801585,-0.114935690554531,9261,"log"
"SC","Cash merger",133,-0.177634670504876,0.00362323619759556,0.0318754097291022,-0.247938131822345,-0.115713730423303,9261,"log"
"SC","Cash merger",134,-0.179293307055094,0.00363791945779766,0.0321592507759938,-0.249906894092104,-0.117202077575792,9261,"log"
"SC","Cash merger",135,-0.180692611694775,0.00365327800325797,0.0324286014615246,-0.25178305449969,-0.117651226764832,9261,"log"
"SC","Cash merger",136,-0.181798455443195,0.00366211542768537,0.0325210813146518,-0.253387570379724,-0.118598414596188,9261,"log"
"SC","Cash merger",137,-0.18308583307775,0.00367630554071962,0.0326833535745856,-0.255467644442997,-0.119449515690884,9261,"log"
