"design","subsample","event_date","mean_car","boot_se","lo","hi","n"
"Gsynth","Cash merger",181,0.00220487914869626,0.00962338514731387,-0.0146980622171603,0.0227085460853981,9261
"Gsynth","Cash merger",182,0.00211965625238667,0.00951227024504967,-0.0150551629040789,0.0226239546474809,9261
"Gsynth","Cash merger",183,0.00241285042915554,0.00955372792136818,-0.0148429893592846,0.0228855701821222,9261
"Gsynth","Cash merger",184,0.00207162880428674,0.0097631097144862,-0.0157256567337236,0.0233644955764566,9261
"Gsynth","Cash merger",185,0.00225634790694612,0.00981211557154632,-0.0158492751732948,0.0235842415017731,9261
"Gsynth","Cash merger",186,0.00282270920628987,0.00986098005738121,-0.0155113173554188,0.0245377382506992,9261
"Gsynth","Cash merger",187,0.00313589778888061,0.0100212619607451,-0.0151211942566384,0.0251216925896105,9261
"Gsynth","Cash merger",188,0.00368119352841185,0.0101098433276048,-0.0147810524635285,0.0257213946572612,9261
"Gsynth","Cash merger",189,0.00372609513570846,0.0100303874470458,-0.0144304826316856,0.0252021962416167,9261
"Gsynth","Cash merger",190,0.00356506886581427,0.0101137437249691,-0.0146690277696781,0.0253825678877009,9261
"Gsynth","Cash merger",191,0.0042502197498656,0.0103944279378212,-0.01459212504459,0.0269477124810293,9261
"Gsynth","Cash merger",192,0.00425231634223419,0.0104585953706506,-0.0145073161209983,0.0268658751983175,9261
"Gsynth","Cash merger",193,0.00439902635214616,0.0106711388950985,-0.0148397971969184,0.0277746268628567,9261
"Gsynth","Cash merger",194,0.00479175737783088,0.0106215262345187,-0.0143051977752789,0.0276915038785881,9261
"Gsynth","Cash merger",195,0.0058961080093696,0.010608290276612,-0.0129122909330616,0.0289763973551079,9261
"Gsynth","Cash merger",196,0.00560411981169286,0.0105215276410984,-0.0130852411960912,0.0284093754417552,9261
"Gsynth","Cash merger",197,0.00749200623523991,0.0108531963133815,-0.0117484125969965,0.0311197237486567,9261
"Gsynth","Cash merger",198,0.00693186145695198,0.0108790548212057,-0.0125356682288292,0.0304664977281085,9261
"Gsynth","Cash merger",199,0.00730490301245021,0.0111094384548623,-0.0121876583524976,0.03112121643072,9261
"Gsynth","Cash merger",200,0.00704128954276606,0.0110299632310014,-0.0121699188940623,0.0305077847772635,9261
"Gsynth","Cash merger",201,0.00765694252820196,0.0110734726822789,-0.0114921390639983,0.0319865294985699,9261
"Gsynth","Cash merger",202,0.00757031585668138,0.0113843757267512,-0.0120736109856687,0.0320883517350873,9261
"Gsynth","Cash merger",203,0.00760235970057945,0.0113332753688715,-0.0120165691030574,0.0326707832946182,9261
"Gsynth","Cash merger",204,0.0078604356061735,0.0112191904238342,-0.0118134709143389,0.0324241463073065,9261
"Gsynth","Cash merger",205,0.00757337040743263,0.0110622838375617,-0.0119412744335689,0.031613966858683,9261
"Gsynth","Cash merger",206,0.00767428580463833,0.0111635954575144,-0.0115659513309182,0.0316654206436824,9261
"Gsynth","Cash merger",207,0.00774539203640702,0.0111047225046167,-0.0112372357950719,0.031619686163131,9261
"Gsynth","Cash merger",208,0.00812556900605128,0.0110999123200822,-0.0111006795465003,0.0323542210369607,9261
"Gsynth","Cash merger",209,0.00821886373361369,0.011156021373952,-0.0110091346476537,0.0327402669631963,9261
"Gsynth","Cash merger",210,0.00861184190175167,0.0112912182318805,-0.0107469982973564,0.0333532141333823,9261
"Gsynth","Cash merger",211,0.00854428080306802,0.0113574729281407,-0.0109534984200442,0.0334399441216653,9261
"Gsynth","Cash merger",212,0.00909389376396754,0.0115102555424908,-0.0106740851278304,0.0340620987230879,9261
"Gsynth","Cash merger",213,0.00846643799523383,0.0115705175969709,-0.0116777333854055,0.0332768773790475,9261
"Gsynth","Cash merger",214,0.00825195218289233,0.0115997132192709,-0.012206452252497,0.033133871525501,9261
"Gsynth","Cash merger",215,0.00776056376728009,0.0114992526648135,-0.0125009289924177,0.0326961704304753,9261
"Gsynth","Cash merger",216,0.00816875701319345,0.0115150630730167,-0.0119743469603316,0.033000735263311,9261
"Gsynth","Cash merger",217,0.0077853672531017,0.0115850128903179,-0.012114356051196,0.0328823031665839,9261
"Gsynth","Cash merger",218,0.0075240291990592,0.011719141363711,-0.0129346332153263,0.0327317100357296,9261
"Gsynth","Cash merger",219,0.00769097562357599,0.0120876255736609,-0.0131672672674053,0.0340210900418178,9261
"Gsynth","Cash merger",220,0.008638917611599,0.0119954081550856,-0.0122416286654016,0.0348009871504917,9261
"Gsynth","Cash merger",221,0.00858492395482732,0.0120061002239548,-0.0126062142961423,0.0346270751332935,9261
"Gsynth","Cash merger",222,0.00774535499171389,0.0120456876204334,-0.0129939010952028,0.0338577638757024,9261
"Gsynth","Cash merger",223,0.00728823557548733,0.0120468259694197,-0.013564071655945,0.0333851888031523,9261
"Gsynth","Cash merger",224,0.00828938771975428,0.0119696857881,-0.0121723484873927,0.0342742871064603,9261
"Gsynth","Cash merger",225,0.00872488414311242,0.0122111060851089,-0.0124866723295113,0.0350121409428043,9261
"Gsynth","Cash merger",226,0.00869608843611882,0.0122000988575959,-0.0124483747948185,0.0348029042561426,9261
"Gsynth","Cash merger",227,0.0084470584931351,0.0122056972953609,-0.0124038064527634,0.0348136000393245,9261
"Gsynth","Cash merger",228,0.00832538699812066,0.0123623866523109,-0.0128791671920828,0.0352570348382549,9261
"Gsynth","Cash merger",229,0.0088155215464345,0.0122449054498292,-0.0123253328832981,0.0352245599139814,9261
"Gsynth","Cash merger",230,0.00897723861329637,0.0121740185956806,-0.0122779830537388,0.0353128186143843,9261
"Gsynth","Cash merger",231,0.00939040715117869,0.01231075173779,-0.0120418603205968,0.0359546708682666,9261
"Gsynth","Cash merger",232,0.00896260708550189,0.0122732481913378,-0.0125231370105413,0.0351622584581589,9261
"Gsynth","Cash merger",233,0.0095290150405247,0.0124534970854754,-0.0120104724990791,0.0364310837402133,9261
"Gsynth","Cash merger",234,0.0097029581851058,0.0125664049712148,-0.0120335055324588,0.0366000590550158,9261
"Gsynth","Cash merger",235,0.00911921935984051,0.012823917935736,-0.0129038378686835,0.0366926586145328,9261
"Gsynth","Cash merger",236,0.00882986549102757,0.0128867212130291,-0.0136828049820215,0.0366399466540623,9261
"Gsynth","Cash merger",237,0.00906058767870812,0.0130424419298931,-0.0132371092898956,0.0370894905735996,9261
"Gsynth","Cash merger",238,0.00911537769269892,0.0128188011175543,-0.0126020738076069,0.0364833456266816,9261
"Gsynth","Cash merger",239,0.00974779738554015,0.012909487388504,-0.0118307819013076,0.0373189394089699,9261
"Gsynth","Cash merger",240,0.00918267540180602,0.0127842347813842,-0.0127717288311381,0.0361014626419445,9261
"Gsynth","Cash merger",241,0.00894864150115584,0.0127092652111569,-0.0132800179847336,0.0358272448357766,9261
"Gsynth","Cash merger",242,0.00909673417335995,0.0128011010863526,-0.0134504420765854,0.0361781666371531,9261
"Gsynth","Cash merger",243,0.0105946353078589,0.0129152682977968,-0.0119198883266902,0.0378647937560741,9261
"Gsynth","Cash merger",244,0.0105157604900532,0.0129693840134266,-0.0122607101404381,0.0381162341521169,9261
"Gsynth","Cash merger",245,0.0111634724166709,0.0130642722774861,-0.0122419700022426,0.0387034446155832,9261
"Gsynth","Cash merger",246,0.0105763340616611,0.0132132527485634,-0.012856660211894,0.0386985962035234,9261
"Gsynth","Cash merger",247,0.0102010236094278,0.0131927105770548,-0.0132988127972048,0.0379934457527971,9261
"Gsynth","Cash merger",248,0.0101345936416411,0.0130748693537815,-0.012630274115314,0.0384560232335411,9261
"Gsynth","Cash merger",249,0.0100901860279241,0.0132038501920448,-0.0130585093411108,0.038317183240762,9261
"Gsynth","Cash merger",250,0.0102942404331314,0.0133877626638619,-0.0132352624918043,0.0390692964845311,9261
"Gsynth","Stock merger",-1,6.95327269775713e-05,0.000742073805645344,-0.00133319747019114,0.00163194664830739,5592
"Gsynth","Stock merger",0,0.000221496239882569,0.000963638313646741,-0.0015338358862216,0.00215911909398668,5592
"Gsynth","Stock merger",1,-0.000475370628613818,0.000992959965765341,-0.00232631073905224,0.00154580107636588,5592
"Gsynth","Stock merger",2,-0.000478859161171011,0.0010160000131462,-0.00252878715032998,0.00156984145004081,5592
"Gsynth","Stock merger",3,0.000110808347959497,0.0010100422434399,-0.00165440259003537,0.00212259270274729,5592
"Gsynth","Stock merger",4,-0.000608657489216198,0.00128194491533059,-0.00304230217666497,0.00184344154996076,5592
"Gsynth","Stock merger",5,-0.00124581107519346,0.0014212525751407,-0.00405407125926511,0.00152262881307759,5592
"Gsynth","Stock merger",6,-0.000811270302952294,0.00129030222157656,-0.00334215709037969,0.00172842601876685,5592
"Gsynth","Stock merger",7,6.02735932798263e-05,0.0013795459201753,-0.00268222008041661,0.00269996235151996,5592
"Gsynth","Stock merger",8,0.000419862258395171,0.00158569876042785,-0.00284975559810589,0.0032844272922472,5592
"Gsynth","Stock merger",9,-0.000838311249475289,0.0015489641000665,-0.00400626663891691,0.00206463456749473,5592
"Gsynth","Stock merger",10,-0.00084519967057198,0.0016691628913263,-0.00423334588959109,0.00247251144917923,5592
