"method","subsample","event_date","mean_car","boot_se","lo","hi","n"
"APM","Cash merger",158,-0.0793244585052392,0.0410380521496276,-0.161652486245443,0.00131578377926916,5676
"APM","Cash merger",159,-0.0791981087969248,0.0411251435342546,-0.16119062797669,0.00161823431657517,5676
"APM","Cash merger",160,-0.0795708138484722,0.0413011634045863,-0.161292203772994,0.00152825883160657,5676
"APM","Cash merger",161,-0.080309302882488,0.0413447287428696,-0.162404265566106,0.000555711991472796,5676
"APM","Cash merger",162,-0.0804958646932429,0.0416062697422002,-0.163044046941763,0.000923478163010166,5676
"APM","Cash merger",163,-0.0810851412860053,0.041789583197263,-0.163697183680723,0.00062101748961231,5676
"APM","Cash merger",164,-0.0812302034044341,0.042102029240015,-0.164447863327161,0.000993727881664736,5676
"APM","Cash merger",165,-0.081916829596192,0.0423403050293578,-0.165807557458105,0.000742118398969796,5676
"APM","Cash merger",166,-0.0820572945695407,0.0428160982740772,-0.166919937966841,0.00123427084792185,5676
"APM","Cash merger",167,-0.0832262947104448,0.0426791208020545,-0.167820924830545,-0.000697405833468423,5676
"APM","Cash merger",168,-0.0843340745186848,0.043204009708773,-0.17014525233076,-0.00072079705520599,5676
"APM","Cash merger",169,-0.0854106511221695,0.0434094482290653,-0.17171110422342,-0.00143277748447769,5676
"APM","Cash merger",170,-0.0863816338389779,0.0435722279639916,-0.173225497593353,-0.00237854982660148,5676
"APM","Cash merger",171,-0.0872758107466909,0.0435697719161531,-0.174117515855293,-0.00248752413542413,5676
"APM","Cash merger",172,-0.0885686285749036,0.0437175702031373,-0.175928640595024,-0.00279779634526912,5676
"APM","Cash merger",173,-0.0884439597328518,0.0439329653868381,-0.176542595344027,-0.00260770121495386,5676
"APM","Cash merger",174,-0.0894247582740964,0.0440108486623982,-0.177537008930096,-0.00340170632927356,5676
"APM","Cash merger",175,-0.0898567350681762,0.0444132530765538,-0.178523073434,-0.00251649275169402,5676
"APM","Cash merger",176,-0.0911430368590637,0.0445441764822511,-0.179602783565905,-0.00341854190436959,5676
"APM","Cash merger",177,-0.0918502006579821,0.0446742835021775,-0.180847839880274,-0.00360981179521441,5676
"APM","Cash merger",178,-0.0928041914120099,0.0447608900888452,-0.182826097959524,-0.00439934641493918,5676
"APM","Cash merger",179,-0.0935837307072242,0.0448256852297576,-0.182902976867336,-0.00456913065833182,5676
"APM","Cash merger",180,-0.093686715755297,0.0452956810433159,-0.183331244801275,-0.00337575619093182,5676
"APM","Cash merger",181,-0.0939380708804413,0.0455450719462109,-0.183837950207409,-0.00281186616126015,5676
"APM","Cash merger",182,-0.0950147987154955,0.0458034427678576,-0.185817946240484,-0.00340180947205821,5676
"APM","Cash merger",183,-0.095372263439487,0.0459496321802467,-0.185889259554657,-0.00395070313097012,5676
"APM","Cash merger",184,-0.0958582140484099,0.0463733657386015,-0.187465642093136,-0.00367022195461595,5676
"APM","Cash merger",185,-0.0961749390024967,0.0464038664308227,-0.187863352106588,-0.00358192636920426,5676
"APM","Cash merger",186,-0.0962256786204671,0.0466513472901696,-0.189067762570252,-0.00314439440146289,5676
"APM","Cash merger",187,-0.0983345325819839,0.0466924840090527,-0.191686246410671,-0.00528921540788722,5676
"APM","Cash merger",188,-0.0986894856469981,0.0467400840788635,-0.192134697419541,-0.00565967574188744,5676
"APM","Cash merger",189,-0.0989255528645552,0.0469261032180164,-0.193059272595328,-0.00584119645924286,5676
"APM","Cash merger",190,-0.0988261515525075,0.0470365006846054,-0.193288665166188,-0.0049804011600515,5676
"APM","Cash merger",191,-0.098854330936966,0.047466086949689,-0.194319367302097,-0.00394673174874749,5676
