"method","subsample","event_date","calibrated","boot_se","lo","hi","n"
"SC","Full sample",215,-0.0113406208882105,0.00830843570102849,-0.0289700047117923,0.0043663151408291,14847
"SC","Full sample",216,-0.0117621133096285,0.00835498547772327,-0.0293344935345857,0.00368339051806308,14847
"SC","Full sample",217,-0.0113045500059621,0.00828215567429103,-0.028662512957374,0.00394129413994488,14847
"SC","Full sample",218,-0.010810886003187,0.00836162187460827,-0.0287286476019852,0.00459475686122453,14847
"SC","Full sample",219,-0.0108606023228498,0.00835900037355489,-0.0291754735019263,0.00470664701404457,14847
"SC","Full sample",220,-0.0116892686797794,0.00852024350015719,-0.0297994368190239,0.00416828578698887,14847
"SC","Full sample",221,-0.0122514750172807,0.0087714951470111,-0.0308552604655641,0.00404819561945308,14847
"SC","Full sample",222,-0.0116783840402019,0.0087820180247289,-0.0301683325032792,0.0046671567759381,14847
"SC","Full sample",223,-0.0111774114072792,0.00877196361887968,-0.0296150746357344,0.00498181514898861,14847
"SC","Full sample",224,-0.0118707990014479,0.00874051661334921,-0.0302484013500832,0.00413897329463849,14847
"SC","Full sample",225,-0.0125041937994795,0.0089505431607554,-0.0312344958241264,0.00401325955066668,14847
"SC","Full sample",226,-0.012377320024139,0.00879241444211065,-0.030681301579471,0.00383038320383817,14847
"SC","Full sample",227,-0.0114404540300443,0.00876597951203997,-0.0297750212678879,0.00483476383154934,14847
"SC","Full sample",228,-0.012475707744045,0.00896831411301786,-0.0311936431960471,0.00435502288287365,14847
"SC","Full sample",229,-0.0130967623453493,0.00903653650134576,-0.0318716525005586,0.00344574056307636,14847
"SC","Full sample",230,-0.0133824644023739,0.008985230884156,-0.031873308083211,0.00315254613603055,14847
"SC","Full sample",231,-0.0136714773487716,0.00931341130592846,-0.0330114681426557,0.00346009915168009,14847
"SC","Full sample",232,-0.0139724941506698,0.00942520079082017,-0.0330800235440654,0.00374089135568301,14847
"SC","Full sample",233,-0.0149560988680154,0.00946342157424893,-0.0346694202395338,0.00312894166900431,14847
"SC","Full sample",234,-0.0154269677095352,0.00954398128131706,-0.034673595688768,0.00251164926035473,14847
"SC","Full sample",235,-0.0156707505942833,0.00998255732796877,-0.0359232746407831,0.00302352412452032,14847
"SC","Full sample",236,-0.0159851609155191,0.00982176399742475,-0.0360260630349399,0.00267823328488734,14847
"SC","Full sample",237,-0.0158454187378893,0.00988788016620437,-0.0361798737323488,0.00279067891657725,14847
"SC","Full sample",238,-0.0166291360654189,0.0096886160549641,-0.0366791677259139,0.00158901911700242,14847
"SC","Full sample",239,-0.0178731898425661,0.00974308181628233,-0.037801252162483,0.000572177536115079,14847
"SC","Full sample",240,-0.018141595358765,0.0097477847811284,-0.0380739262643802,0.000571166777080762,14847
"SC","Full sample",241,-0.0180446309712253,0.00970410135273112,-0.0380917933974825,0.000454650976725205,14847
"SC","Full sample",242,-0.0184384721149682,0.00985121724266537,-0.0387751473186589,0.000123683715356071,14847
"SC","Full sample",243,-0.0183268903874181,0.00988454127119606,-0.0385313800758629,0.000405502040110262,14847
"SC","Full sample",244,-0.018584547697986,0.00988524230080461,-0.0387520718341731,0.000425326600072676,14847
"SC","Full sample",245,-0.0193656337293304,0.0101178820238497,-0.0397846726373963,9.90483550389059e-05,14847
"SC","Full sample",246,-0.019393752537323,0.0101219281017556,-0.0401677521605741,-0.000138377227868606,14847
"SC","Full sample",247,-0.0196044553634789,0.0102295289931601,-0.0404492945838047,-0.000251865436383286,14847
"SC","Full sample",248,-0.0188539365598463,0.0101678444400264,-0.0397691029074714,0.000498439132079972,14847
"SC","Full sample",249,-0.0187829452137424,0.0101974701622961,-0.0398616014695692,0.000492605887226758,14847
"SC","Full sample",250,-0.0190171288305084,0.0102670748829164,-0.0402056262353249,0.000678255118024038,14847
"SC","Cash merger",-1,0.000854533693607562,0.000373139625098891,0.000160775766111161,0.00163201604988646,9261
"SC","Cash merger",0,0.00801293149899793,0.00110537508014332,0.00582795172687155,0.0102870624774749,9261
"SC","Cash merger",1,0.0118182621698714,0.00135079552270988,0.00906339737570215,0.014341948236284,9261
"SC","Cash merger",2,0.013656657474497,0.00148626165832601,0.0106972247582783,0.0165041358954847,9261
"SC","Cash merger",3,0.0132582609479626,0.00165110164939632,0.0100126213212988,0.016430408962575,9261
"SC","Cash merger",4,0.0140670197799814,0.00171285281471209,0.0104122178765202,0.0172871849770287,9261
"SC","Cash merger",5,0.0150635715782069,0.00168208602845088,0.0114391004947003,0.0181863510277801,9261
"SC","Cash merger",6,0.0141415240569222,0.00171453478985746,0.0104766627080746,0.0172507340368531,9261
"SC","Cash merger",7,0.014188479819204,0.001931491383141,0.0100213678888597,0.0176810625276185,9261
"SC","Cash merger",8,0.0146425326868528,0.00193889152740971,0.0102142157700175,0.0181144776693316,9261
"SC","Cash merger",9,0.0148866118249573,0.00203821238767305,0.0103004055049766,0.0183861475759738,9261
"SC","Cash merger",10,0.0149201188378341,0.00226305133930251,0.0100783221751302,0.0188091000379464,9261
"SC","Cash merger",11,0.0154778436195033,0.00217128441589968,0.0108216387396369,0.0191866190018551,9261
"SC","Cash merger",12,0.0163299246954334,0.00215119378178864,0.0117416288328249,0.0201762333628472,9261
"SC","Cash merger",13,0.0161142310537568,0.00206212081154241,0.0115309422815827,0.0198488272214244,9261
"SC","Cash merger",14,0.0169334390959177,0.00215050569812788,0.0121222461841973,0.0207400244400812,9261
"SC","Cash merger",15,0.017247433291774,0.00219522890650732,0.0124467886506242,0.0211244524142495,9261
"SC","Cash merger",16,0.0172398936634966,0.00216116987939361,0.0124762488832284,0.0211224223509434,9261
"SC","Cash merger",17,0.0182826992075095,0.00214167823592334,0.0136592167078518,0.0220344308278293,9261
