"method","event_date","catt","se"
"APM",-8,-0.014646476029255,0.0193230259837545
"APM",-7,-0.0159256110553889,0.0195205440160108
"APM",-6,-0.0160680579713364,0.0196462251449783
"APM",-5,-0.0153345594655131,0.0196071194055028
"APM",-4,-0.0141667572814743,0.019636763368613
"APM",-3,-0.013272043363169,0.0198362690304015
"APM",-2,-0.0209662776933213,0.0215976953822271
"APM",-1,-0.018545249173166,0.021693686698393
"APM",0,-0.0174740179420452,0.0217188178623474
"APM",1,0.0113295309435514,0.0216187378821089
"APM",2,0.00725314441928768,0.0217575624164569
"APM",3,0.00736489651638403,0.0217042799489866
"APM",4,0.00651125993799648,0.0217739690170062
"APM",5,0.00651336885450384,0.0216254176317595
"APM",6,0.00492263390592746,0.0216253133925882
"APM",7,0.00453682184478957,0.0217690138397963
"APM",8,0.00403197247998942,0.0219420141584924
"APM",9,0.00124018650102878,0.0221714165516718
"APM",10,-0.00282491868357004,0.0221779664266485
"APM",11,-0.00362532273997192,0.0222057248912914
"APM",12,-0.00562012762460622,0.022143474071261
"APM",13,-0.0083117967413264,0.0222061220673292
"APM",14,-0.00833427173149785,0.0219865473777717
"APM",15,-0.010339047502583,0.021911227333756
"APM",16,-0.0128565787287831,0.022097741951667
"APM",17,-0.012220836402994,0.0221912209630528
"APM",18,-0.0150621583651817,0.0221709536716202
"APM",19,-0.0136261035481653,0.0220951824104537
"APM",20,-0.0163054939021254,0.0222769281502473
